Serial Number,How many books did you read during last 12months?,Read any printed books during last 12months?,Read any audiobooks during last 12months?,Read any e-books during last 12months?,"Last book you read, you…",Do you happen to read any daily news or newspapers?,Do you happen to read any magazines or journals?
208,50,Yes,No,No,Purchased the book,No,Yes
209,50,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
210,50,Yes,No,No,Got the book some other way,No,No
211,50,Yes,No,Yes,Purchased the book,Yes,No
212,50,Yes,Yes,Yes,Got the book some other way,No,No
213,50,Yes,No,No,Purchased the book,Yes,Yes
214,50,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
215,50,Yes,No,No,Purchased the book,No,No
216,50,Yes,No,Yes,Borrowed the book from a library,No,No
217,50,Yes,No,No,Purchased the book,No,Yes
218,50,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
219,50,Yes,No,No,Purchased the book,Yes,Yes
220,50,Yes,No,No,Borrowed the book from a library,Yes,Yes
221,50,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes
222,50,Yes,No,No,Purchased the book,No,Yes
223,50,Yes,No,No,Purchased the book,Yes,Yes
224,50,Yes,No,No,Purchased the book,No,Yes
225,50,Yes,Yes,No,Purchased the book,Yes,Yes
226,50,Yes,No,Yes,Borrowed the book from a library,Yes,No
227,50,Yes,No,No,Purchased the book,Yes,Yes
228,50,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
229,50,Yes,Yes,Yes,Purchased the book,Yes,Yes
230,50,Yes,Yes,No,Purchased the book,Yes,Yes
231,50,Yes,No,No,Borrowed the book from a library,Yes,Yes
232,50,Yes,No,No,Purchased the book,Yes,Yes
233,50,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
234,50,Yes,No,No,Purchased the book,No,Yes
235,50,Yes,No,No,Borrowed the book from a library,Yes,No
236,50,Yes,No,Yes,Purchased the book,No,Yes
237,50,Yes,No,No,Purchased the book,Yes,Yes
238,50,Yes,No,No,Purchased the book,Yes,No
239,50,Yes,No,Yes,Borrowed the book from a library,Yes,No
240,50,Yes,Yes,Yes,Purchased the book,Yes,Yes
241,50,Yes,No,No,Got the book some other way,Yes,Yes
242,50,Yes,No,No,Borrowed the book from a library,No,No
243,50,Yes,No,Yes,Borrowed the book from a library,No,Yes
244,50,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
245,50,Yes,No,Yes,Purchased the book,Yes,No
246,50,Yes,Yes,Yes,Purchased the book,Yes,Yes
247,50,Don’t know,No,No,Purchased the book,Yes,No
248,50,Yes,No,Yes,Purchased the book,Yes,Yes
249,50,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No
250,50,Yes,No,Yes,Purchased the book,Yes,Yes
